order,Delay,Test.Time,Participant.Private.ID,lure_word,original_response,lure_recalled
326,delay,AM,8247940,smoke,NA,0
327,delay,AM,8247940,sweet,NA,0
328,delay,AM,8247940,rough,rough,1
329,delay,AM,8247940,needle,NA,0
330,delay,AM,8247940,rubbish,NA,0
331,delay,AM,8247940,anger,NA,0
332,delay,AM,8247940,soft,soft,1
333,delay,AM,8247940,city,NA,0
334,delay,AM,8247940,cup,cup,1
335,delay,AM,8247940,cold,NA,0
336,delay,AM,8247940,mountain,NA,0
337,delay,AM,8247940,slow,NA,0
338,delay,AM,8247940,river,NA,0
339,delay,AM,8247940,spider,NA,0
340,delay,AM,8247940,foot,NA,0
341,delay,AM,8234196,window,window,1
342,delay,AM,8234196,sleep,NA,0
343,delay,AM,8234196,doctor,NA,0
344,delay,AM,8234196,smell,NA,0
345,delay,AM,8234196,chair,NA,0
346,delay,AM,8234196,smoke,NA,0
347,delay,AM,8234196,sweet,NA,0
348,delay,AM,8234196,rough,NA,0
349,delay,AM,8234196,needle,NA,0
350,delay,AM,8234196,rubbish,NA,0
351,delay,AM,8234196,anger,NA,0
352,delay,AM,8234196,soft,NA,0
353,delay,AM,8234196,city,NA,0
354,delay,AM,8234196,cup,NA,0
355,delay,AM,8234196,cold,cold,1
356,delay,AM,8234196,mountain,NA,0
357,delay,AM,8234196,slow,slow,1
358,delay,AM,8234196,river,NA,0
359,delay,AM,8234196,spider,NA,0
360,delay,AM,8234196,foot,NA,0
361,delay,AM,8234121,window,NA,0
362,delay,AM,8234121,sleep,NA,0
363,delay,AM,8234121,doctor,NA,0
364,delay,AM,8234121,smell,NA,0
365,delay,AM,8234121,chair,NA,0
366,delay,AM,8234121,smoke,NA,0
367,delay,AM,8234121,sweet,NA,0
368,delay,AM,8234121,rough,NA,0
369,delay,AM,8234121,needle,NA,0
370,delay,AM,8234121,rubbish,NA,0
371,delay,AM,8234121,anger,NA,0
372,delay,AM,8234121,soft,NA,0
373,delay,AM,8234121,city,NA,0
374,delay,AM,8234121,cup,NA,0
375,delay,AM,8234121,cold,cold,1
376,delay,AM,8234121,mountain,NA,0
377,delay,AM,8234121,slow,NA,0
378,delay,AM,8234121,river,NA,0
379,delay,AM,8234121,spider,NA,0
380,delay,AM,8234121,foot,NA,0
381,delay,AM,8234553,window,NA,0
382,delay,AM,8234553,sleep,NA,0
383,delay,AM,8234553,doctor,NA,0
384,delay,AM,8234553,smell,NA,0
385,delay,AM,8234553,chair,NA,0
386,delay,AM,8234553,smoke,NA,0
387,delay,AM,8234553,sweet,NA,0
388,delay,AM,8234553,rough,NA,0
389,delay,AM,8234553,needle,NA,0
390,delay,AM,8234553,rubbish,NA,0
391,delay,AM,8234553,anger,NA,0
392,delay,AM,8234553,soft,NA,0
393,delay,AM,8234553,city,NA,0
394,delay,AM,8234553,cup,NA,0
395,delay,AM,8234553,cold,NA,0
396,delay,AM,8234553,mountain,NA,0
397,delay,AM,8234553,slow,NA,0
398,delay,AM,8234553,river,NA,0
399,delay,AM,8234553,spider,NA,0
400,delay,AM,8234553,foot,NA,0
401,delay,AM,8221790,window,NA,0
402,delay,AM,8221790,sleep,NA,0
403,delay,AM,8221790,doctor,NA,0
404,delay,AM,8221790,smell,smell,1
405,delay,AM,8221790,chair,NA,0
406,delay,AM,8221790,smoke,NA,0
407,delay,AM,8221790,sweet,NA,0
408,delay,AM,8221790,rough,rough,1
409,delay,AM,8221790,needle,NA,0
410,delay,AM,8221790,rubbish,NA,0
411,delay,AM,8221790,anger,NA,0
412,delay,AM,8221790,soft,soft,1
413,delay,AM,8221790,city,NA,0
414,delay,AM,8221790,cup,NA,0
415,delay,AM,8221790,cold,cold,1
416,delay,AM,8221790,mountain,mountain,1
417,delay,AM,8221790,slow,NA,0
418,delay,AM,8221790,river,NA,0
419,delay,AM,8221790,spider,NA,0
420,delay,AM,8221790,foot,NA,0
421,delay,AM,8221918,window,NA,0
422,delay,AM,8221918,sleep,sleep,1
423,delay,AM,8221918,doctor,NA,0
424,delay,AM,8221918,smell,NA,0
425,delay,AM,8221918,chair,NA,0
426,delay,AM,8221918,smoke,NA,0
427,delay,AM,8221918,sweet,NA,0
428,delay,AM,8221918,rough,NA,0
429,delay,AM,8221918,needle,NA,0
430,delay,AM,8221918,rubbish,NA,0
431,delay,AM,8221918,anger,NA,0
432,delay,AM,8221918,soft,NA,0
433,delay,AM,8221918,city,NA,0
434,delay,AM,8221918,cup,NA,0
435,delay,AM,8221918,cold,NA,0
436,delay,AM,8221918,mountain,NA,0
437,delay,AM,8221918,slow,NA,0
438,delay,AM,8221918,river,NA,0
439,delay,AM,8221918,spider,NA,0
440,delay,AM,8221918,foot,NA,0
441,delay,AM,8221639,window,NA,0
442,delay,AM,8221639,sleep,sleep,1
443,delay,AM,8221639,doctor,NA,0
444,delay,AM,8221639,smell,NA,0
445,delay,AM,8221639,chair,NA,0
446,delay,AM,8221639,smoke,NA,0
447,delay,AM,8221639,sweet,NA,0
448,delay,AM,8221639,rough,NA,0
449,delay,AM,8221639,needle,NA,0
450,delay,AM,8221639,rubbish,NA,0
451,delay,AM,8221639,anger,NA,0
452,delay,AM,8221639,soft,NA,0
453,delay,AM,8221639,city,NA,0
454,delay,AM,8221639,cup,NA,0
455,delay,AM,8221639,cold,NA,0
456,delay,AM,8221639,mountain,NA,0
457,delay,AM,8221639,slow,NA,0
458,delay,AM,8221639,river,NA,0
459,delay,AM,8221639,spider,NA,0
460,delay,AM,8221639,foot,NA,0
461,delay,AM,8209525,window,NA,0
462,delay,AM,8209525,sleep,NA,0
463,delay,AM,8209525,doctor,NA,0
464,delay,AM,8209525,smell,NA,0
465,delay,AM,8209525,chair,NA,0
466,delay,AM,8209525,smoke,smoke,1
467,delay,AM,8209525,sweet,NA,0
468,delay,AM,8209525,rough,NA,0
469,delay,AM,8209525,needle,NA,0
470,delay,AM,8209525,rubbish,NA,0
471,delay,AM,8209525,anger,NA,0
472,delay,AM,8209525,soft,NA,0
473,delay,AM,8209525,city,NA,0
474,delay,AM,8209525,cup,NA,0
475,delay,AM,8209525,cold,NA,0
476,delay,AM,8209525,mountain,NA,0
477,delay,AM,8209525,slow,slow,1
478,delay,AM,8209525,river,NA,0
479,delay,AM,8209525,spider,NA,0
480,delay,AM,8209525,foot,feet,1
481,delay,AM,8208689,window,NA,0
482,delay,AM,8208689,sleep,NA,0
483,delay,AM,8208689,doctor,NA,0
484,delay,AM,8208689,smell,NA,0
485,delay,AM,8208689,chair,NA,0
486,delay,AM,8208689,smoke,NA,0
487,delay,AM,8208689,sweet,NA,0
488,delay,AM,8208689,rough,rough,1
489,delay,AM,8208689,needle,NA,0
490,delay,AM,8208689,rubbish,NA,0
491,delay,AM,8208689,anger,NA,0
492,delay,AM,8208689,soft,NA,0
493,delay,AM,8208689,city,NA,0
494,delay,AM,8208689,cup,NA,0
495,delay,AM,8208689,cold,NA,0
496,delay,AM,8208689,mountain,NA,0
497,delay,AM,8208689,slow,slow,1
498,delay,AM,8208689,river,NA,0
499,delay,AM,8208689,spider,NA,0
500,delay,AM,8208689,foot,NA,0
501,delay,AM,8209328,window,NA,0
502,delay,AM,8209328,sleep,NA,0
503,delay,AM,8209328,doctor,NA,0
504,delay,AM,8209328,smell,NA,0
505,delay,AM,8209328,chair,NA,0
506,delay,AM,8209328,smoke,NA,0
507,delay,AM,8209328,sweet,NA,0
508,delay,AM,8209328,rough,NA,0
509,delay,AM,8209328,needle,NA,0
510,delay,AM,8209328,rubbish,NA,0
511,delay,AM,8209328,anger,NA,0
512,delay,AM,8209328,soft,NA,0
513,delay,AM,8209328,city,city,1
514,delay,AM,8209328,cup,NA,0
515,delay,AM,8209328,cold,cold,1
516,delay,AM,8209328,mountain,NA,0
517,delay,AM,8209328,slow,NA,0
518,delay,AM,8209328,river,NA,0
519,delay,AM,8209328,spider,NA,0
520,delay,AM,8209328,foot,NA,0
521,delay,AM,8208996,window,NA,0
522,delay,AM,8208996,sleep,NA,0
523,delay,AM,8208996,doctor,NA,0
524,delay,AM,8208996,smell,NA,0
525,delay,AM,8208996,chair,NA,0
526,delay,AM,8208996,smoke,NA,0
527,delay,AM,8208996,sweet,sweet,1
528,delay,AM,8208996,rough,NA,0
529,delay,AM,8208996,needle,NA,0
530,delay,AM,8208996,rubbish,NA,0
531,delay,AM,8208996,anger,NA,0
532,delay,AM,8208996,soft,NA,0
